Millis,Roll,Pitch,Yaw,Altitude,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,Pressure
13441,12.06,5.50,297.06,1.09,2.47,0.25,11.75,-4.00,-17.56,8.69,9.06,1.56,-44.88,836.03
13647,13.56,12.63,297.56,1.24,1.52,1.24,8.92,-51.13,-2.94,8.94,6.88,-1.69,-44.88,835.97
13858,13.31,11.38,296.25,1.71,1.78,1.47,8.36,9.31,5.00,-14.81,4.88,-0.75,-45.38,836.01
14063,13.31,9.75,295.81,1.25,2.27,1.15,9.78,27.25,4.88,-2.94,6.00,-0.06,-46.56,835.94
14270,14.00,10.69,295.13,0.94,2.30,1.55,10.50,-11.38,-1.69,-13.06,5.25,-1.19,-47.75,835.97
14477,14.00,11.81,294.94,0.94,2.91,1.92,9.39,-16.50,-14.56,5.69,6.00,-1.88,-46.06,835.92
14686,14.50,11.75,296.31,0.94,1.93,1.75,9.34,5.88,4.63,15.44,4.19,-1.56,-46.56,836.06
14893,15.88,13.25,295.25,1.55,2.92,1.81,9.71,5.63,-4.88,18.00,3.50,-3.00,-45.75,836.00
15104,15.38,14.44,295.44,2.17,2.06,1.74,9.20,-16.81,6.75,18.37,3.75,-4.88,-46.56,836.00
15316,14.88,12.94,295.31,0.66,1.76,1.50,9.23,14.13,-5.81,9.38,3.69,-2.25,-46.56,835.98
15540,15.44,10.75,295.25,0.96,1.99,1.09,10.09,0.69,4.88,8.06,3.38,-1.56,-45.75,835.98
15747,14.94,11.00,295.50,1.26,1.55,0.99,9.57,-15.13,-1.50,4.44,3.69,-1.19,-47.38,836.01
15953,14.25,9.75,295.88,1.41,1.41,0.75,9.61,-4.13,16.94,1.94,4.06,-1.19,-46.88,836.00
16160,14.94,8.63,294.94,0.95,2.32,0.40,9.93,-61.31,35.94,-21.69,4.75,1.00,-45.00,835.98
16369,10.88,5.06,294.31,0.96,3.61,3.39,3.91,61.31,-13.31,-4.00,7.38,2.75,-45.75,835.98
